,mixture_audio_filename,bg_classname,bg_path,ebr,event_present,event,event_length
0,mixture_evaltest_babycry_000_35c7bc20a21ec8fbb7097c6fb71487b5.wav,beach,audio/79.wav,0.0,False,,
1,mixture_evaltest_babycry_001_0e22e5d08617707ea812e0268d628031.wav,train,audio/261.wav,-6.0,True,babycry,1.3200000000000003
2,mixture_evaltest_babycry_002_ba886810f677a87beb5fb01d83601acf.wav,city_center,audio/318.wav,6.0,True,babycry,1.6799999999999997
3,mixture_evaltest_babycry_003_ba90a3c309bdae59955c437b7f831dbc.wav,office,audio/151.wav,-6.0,True,babycry,1.5399999999999991
4,mixture_evaltest_babycry_004_9a67aac0409c0f8c22f0c04e86908a7c.wav,office,audio/151.wav,6.0,True,babycry,3.8799999999999955
5,mixture_evaltest_babycry_005_2df7be4f5dc00d541ecd051cfe952d42.wav,grocery_store,audio/273.wav,0.0,False,,
6,mixture_evaltest_babycry_006_e9322b966b543e09c77faf9c0f724fe6.wav,cafe/restaurant,audio/145.wav,-6.0,True,babycry,0.8999999999999986
7,mixture_evaltest_babycry_007_94cbb8eb644fca7839892b5cfb0fb9b6.wav,grocery_store,audio/370.wav,6.0,True,babycry,1.1000000000000014
8,mixture_evaltest_babycry_008_ed4c694f060bc2923384619d59107a40.wav,library,audio/232.wav,0.0,False,,
9,mixture_evaltest_babycry_009_8ded4557f6b3c30188c677cdd64d0711.wav,grocery_store,audio/370.wav,0.0,True,babycry,3.039999999999999
10,mixture_evaltest_babycry_010_74ad2ec449e328d8954b978202440095.wav,library,audio/231.wav,0.0,False,,
11,mixture_evaltest_babycry_011_fbd19652b7c0ee15d9fd8bfe1065ac84.wav,bus,audio/99.wav,-6.0,True,babycry,1.0199999999999996
12,mixture_evaltest_babycry_012_e93226a91c10f7644bc1eb41fd8c5e86.wav,home,audio/239.wav,6.0,True,babycry,2.6999999999999993
13,mixture_evaltest_babycry_013_08d0e1eb1e552d4c2a6d816daf5924cf.wav,office,audio/339.wav,6.0,True,babycry,4.819999999999999
14,mixture_evaltest_babycry_014_9feed2831b3cb233bf87870cb104454a.wav,cafe/restaurant,audio/197.wav,0.0,False,,
15,mixture_evaltest_babycry_015_2e50283da54eda40159916bae7b826a6.wav,beach,audio/79.wav,6.0,True,babycry,1.0400000000000063
16,mixture_evaltest_babycry_016_9841bc2765e3b22bfae353e2dfb1e43c.wav,metro_station,audio/158.wav,0.0,False,,
17,mixture_evaltest_babycry_017_8684947b14735a73752117e5500eb806.wav,city_center,audio/23.wav,0.0,False,,
18,mixture_evaltest_babycry_018_f1469221c5139e59edf8dd07027d6ee0.wav,grocery_store,audio/375.wav,0.0,False,,
19,mixture_evaltest_babycry_019_919273d9c18dc28ffaea6c101aaeab7b.wav,park,audio/316.wav,0.0,False,,
20,mixture_evaltest_babycry_020_0779c90af3d097c639a0fbd329eb2a18.wav,home,audio/93.wav,-6.0,True,babycry,1.0199999999999996
21,mixture_evaltest_babycry_021_b605efc2044cd1b619c1bbcd14e1d58e.wav,forest_path,audio/303.wav,6.0,True,babycry,3.039999999999999
22,mixture_evaltest_babycry_022_6330b29218c3c8a58e6a5be656bac730.wav,train,audio/95.wav,0.0,False,,
23,mixture_evaltest_babycry_023_e06a31f22dd2ba6b0a0a10fca268c467.wav,city_center,audio/51.wav,0.0,True,babycry,1.3599999999999994
24,mixture_evaltest_babycry_024_9c0de3d839f4954aece4488cd1c51dc4.wav,tram,audio/332.wav,0.0,True,babycry,0.9
25,mixture_evaltest_babycry_025_4b63eae79f5771fc109cce2c858df762.wav,train,audio/342.wav,0.0,False,,
26,mixture_evaltest_babycry_026_892edecf2eae808e65a8346911c60d3b.wav,park,audio/340.wav,0.0,False,,
27,mixture_evaltest_babycry_027_c9afaf9dfcd17326fc69f80bde1f8748.wav,beach,audio/79.wav,0.0,True,babycry,2.36
28,mixture_evaltest_babycry_028_28c9de1706cd5de3ff7dccfffe86b9fe.wav,cafe/restaurant,audio/25.wav,0.0,False,,
