wav_name	duration
3lt6w785.wav	10.0
3lt6w785.wav	10.0
x7x0_tlv.wav	10.0
x7x0_tlv.wav	10.0
x7x0_tlv.wav	10.0
x7x0_tlv.wav	10.0
x7x0_tlv.wav	10.0
k2do6kb5.wav	10.0
k2do6kb5.wav	10.0
k2do6kb5.wav	10.0
k2do6kb5.wav	10.0
k2do6kb5.wav	10.0
k2do6kb5.wav	10.0
k2do6kb5.wav	10.0
k2do6kb5.wav	10.0
k2do6kb5.wav	10.0
k2do6kb5.wav	10.0
h3m0k0oe.wav	10.0
h3m0k0oe.wav	10.0
h3m0k0oe.wav	10.0
h3m0k0oe.wav	10.0
h3m0k0oe.wav	10.0
h3m0k0oe.wav	10.0
_t9_xm57.wav	10.0
_t9_xm57.wav	10.0
_t9_xm57.wav	10.0
_t9_xm57.wav	10.0
_t9_xm57.wav	10.0
_t9_xm57.wav	10.0
_t9_xm57.wav	10.0
_t9_xm57.wav	10.0
lo03d5yt.wav	10.0
o6yd5u01.wav	10.0
765pox0o.wav	10.0
765pox0o.wav	10.0
xt7cwi2q.wav	10.0
5l6rzd8w.wav	10.0
39578d2_.wav	10.0
b89w7_gy.wav	10.0
dbla90fb.wav	10.0
yoxwpjs6.wav	10.0
yoxwpjs6.wav	10.0
kqv_35_t.wav	10.0
l9aatft6.wav	10.0
ks2dsqyo.wav	10.0
ks2dsqyo.wav	10.0
ks2dsqyo.wav	10.0
ks2dsqyo.wav	10.0
ks2dsqyo.wav	10.0
ks2dsqyo.wav	10.0
ks2dsqyo.wav	10.0
ks2dsqyo.wav	10.0
ks2dsqyo.wav	10.0
ks2dsqyo.wav	10.0
ks2dsqyo.wav	10.0
ks2dsqyo.wav	10.0
_9xyr5no.wav	10.0
ywe49i7e.wav	10.0
ywe49i7e.wav	10.0
ywe49i7e.wav	10.0
ywe49i7e.wav	10.0
razf9fm1.wav	10.0
pzts1sbg.wav	9.0
h1r55f3e.wav	10.0
h1r55f3e.wav	10.0
h1r55f3e.wav	10.0
h1r55f3e.wav	10.0
h1r55f3e.wav	10.0
16_v0s66.wav	10.0
16_v0s66.wav	10.0
_a3bpkj0.wav	10.0
_a3bpkj0.wav	10.0
_a3bpkj0.wav	10.0
_a3bpkj0.wav	10.0
_a3bpkj0.wav	10.0
897yh5ct.wav	10.0
897yh5ct.wav	10.0
897yh5ct.wav	10.0
897yh5ct.wav	10.0
