fname,labels,labels_simple,mids,source datasets,file_dir,duration
259609,"Babbling,Baby_cry_and_infant_cry",baby cry,"/m/0261r1,/t/dd00002",fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/259609.wav,16.15963719
390658,"Baby_cry_and_infant_cry,Crying_and_sobbing",baby cry,"/t/dd00002,/m/0463cq4",fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/390658.wav,8.241360544
254473,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/254473.wav,4.966575964
254474,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/254474.wav,11.44471655
254475,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/254475.wav,12.36244898
254476,"Baby_cry_and_infant_cry,Screech",baby cry,"/t/dd00002,/m/07q8k13",fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/254476.wav,5.518117914
391181,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/391181.wav,18.49791383
254477,"Baby_cry_and_infant_cry,Screaming",baby cry,"/t/dd00002,/m/03qc9zr",fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/254477.wav,3.023151927
254478,"Baby_cry_and_infant_cry,Screech",baby cry,"/t/dd00002,/m/07q8k13",fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/254478.wav,7.611814059
390156,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/390156.wav,27.45811791
259606,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/259606.wav,18.48163265
259608,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/259608.wav,23.68290249
71193,"Baby_cry_and_infant_cry,Crying_and_sobbing",baby cry,"/t/dd00002,/m/0463cq4",fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/71193.wav,8.290385488
259610,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/259610.wav,16.83301587
102431,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/102431.wav,26.22605442
26147,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/26147.wav,4.751043084
346663,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/346663.wav,12.64163265
151081,"Baby_cry_and_infant_cry,Crying_and_sobbing",baby cry,"/t/dd00002,/m/0463cq4",fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/151081.wav,19.34292517
393769,"Baby_cry_and_infant_cry,Crying_and_sobbing",baby cry,"/t/dd00002,/m/0463cq4",fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/393769.wav,8.916462585
425002,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/425002.wav,0.98047619
151085,Baby_cry_and_infant_cry,baby cry,/t/dd00002,fdk50,C:/Users/sharo/OneDrive/Documents/TMRL/FSD50K_dev_audio/151085.wav,10.83734694
