mixture_audio_filename,wav_name,bg_classname,bg_path,ebr,event_present,event,event_actual,event_length
897yh5ct.wav,897yh5ct.wav,,,0,True,Speech,Speech,10.0
897yh5ct.wav,897yh5ct.wav,,,0,True,Speech,Speech,10.0
897yh5ct.wav,897yh5ct.wav,,,0,True,Frying,Frying,10.0
897yh5ct.wav,897yh5ct.wav,,,0,True,Speech,Speech,10.0
897yh5ct.wav,897yh5ct.wav,,,0,True,Dishes,Dishes,10.0
897yh5ct.wav,897yh5ct.wav,,,0,True,Dishes,Dishes,10.0
897yh5ct.wav,897yh5ct.wav,,,0,True,Speech,Speech,10.0
_d59k0a0.wav,_d59k0a0.wav,,,0,True,Running_water,Running_water,10.0
_d59k0a0.wav,_d59k0a0.wav,,,0,True,Dishes,Dishes,10.0
_d59k0a0.wav,_d59k0a0.wav,,,0,True,Speech,Speech,10.0
_d59k0a0.wav,_d59k0a0.wav,,,0,True,Dishes,Dishes,10.0
7rh1aqos.wav,7rh1aqos.wav,,,0,True,Blender,Blender,10.0
7rh1aqos.wav,7rh1aqos.wav,,,0,True,Blender,Blender,10.0
7rh1aqos.wav,7rh1aqos.wav,,,0,True,Dishes,Dishes,10.0
h3m0k0oe.wav,h3m0k0oe.wav,,,0,True,Speech,Speech,10.0
h3m0k0oe.wav,h3m0k0oe.wav,,,0,True,Electric_shaver_toothbrush,Electric_shaver_toothbrush,10.0
h3m0k0oe.wav,h3m0k0oe.wav,,,0,True,Speech,Speech,10.0
h3m0k0oe.wav,h3m0k0oe.wav,,,0,True,Electric_shaver_toothbrush,Electric_shaver_toothbrush,10.0
h3m0k0oe.wav,h3m0k0oe.wav,,,0,True,Speech,Speech,10.0
h3m0k0oe.wav,h3m0k0oe.wav,,,0,True,Speech,Speech,10.0
3yc0z9u6.wav,3yc0z9u6.wav,,,0,True,Cat,Cat,10.0
3yc0z9u6.wav,3yc0z9u6.wav,,,0,True,Cat,Cat,10.0
3yc0z9u6.wav,3yc0z9u6.wav,,,0,True,Cat,Cat,10.0
3yc0z9u6.wav,3yc0z9u6.wav,,,0,True,Cat,Cat,10.0
f5i_iap7.wav,f5i_iap7.wav,,,0,True,Electric_shaver_toothbrush,Electric_shaver_toothbrush,10.0
f5i_iap7.wav,f5i_iap7.wav,,,0,True,Electric_shaver_toothbrush,Electric_shaver_toothbrush,10.0
5f86nyew.wav,5f86nyew.wav,,,0,True,Dishes,Dishes,10.0
5f86nyew.wav,5f86nyew.wav,,,0,True,Dishes,Dishes,10.0
5f86nyew.wav,5f86nyew.wav,,,0,True,Speech,Speech,10.0
dzee6oy8.wav,dzee6oy8.wav,,,0,True,Alarm_bell_ringing,Alarm_bell_ringing,10.0
dzee6oy8.wav,dzee6oy8.wav,,,0,True,Speech,Speech,10.0
dzee6oy8.wav,dzee6oy8.wav,,,0,True,Speech,Speech,10.0
s8orj56h.wav,s8orj56h.wav,,,0,True,Speech,Speech,10.0
s8orj56h.wav,s8orj56h.wav,,,0,True,Frying,Frying,10.0
s8orj56h.wav,s8orj56h.wav,,,0,True,Speech,Speech,10.0
s8orj56h.wav,s8orj56h.wav,,,0,True,Speech,Speech,10.0
s8orj56h.wav,s8orj56h.wav,,,0,True,Dishes,Dishes,10.0
s8orj56h.wav,s8orj56h.wav,,,0,True,Speech,Speech,10.0
s8orj56h.wav,s8orj56h.wav,,,0,True,Speech,Speech,10.0
gexoaem3.wav,gexoaem3.wav,,,0,True,Speech,Speech,10.0
gexoaem3.wav,gexoaem3.wav,,,0,True,Speech,Speech,10.0
gexoaem3.wav,gexoaem3.wav,,,0,True,Alarm_bell_ringing,Alarm_bell_ringing,10.0
gexoaem3.wav,gexoaem3.wav,,,0,True,Speech,Speech,10.0
gexoaem3.wav,gexoaem3.wav,,,0,True,Speech,Speech,10.0
gexoaem3.wav,gexoaem3.wav,,,0,True,Speech,Speech,10.0
gexoaem3.wav,gexoaem3.wav,,,0,True,Speech,Speech,10.0
gexoaem3.wav,gexoaem3.wav,,,0,True,Speech,Speech,10.0
l_i9u71z.wav,l_i9u71z.wav,,,0,True,Cat,Cat,10.0
l_i9u71z.wav,l_i9u71z.wav,,,0,True,Cat,Cat,10.0
l_i9u71z.wav,l_i9u71z.wav,,,0,True,Dog,Dog,10.0
l_i9u71z.wav,l_i9u71z.wav,,,0,True,Dog,Dog,10.0
l_i9u71z.wav,l_i9u71z.wav,,,0,True,Dog,Dog,10.0
l_i9u71z.wav,l_i9u71z.wav,,,0,True,Cat,Cat,10.0
l_i9u71z.wav,l_i9u71z.wav,,,0,True,Dog,Dog,10.0
cs7np8xb.wav,cs7np8xb.wav,,,0,True,Dog,Dog,10.0
cs7np8xb.wav,cs7np8xb.wav,,,0,True,Dog,Dog,10.0
cs7np8xb.wav,cs7np8xb.wav,,,0,True,Dog,Dog,10.0
cs7np8xb.wav,cs7np8xb.wav,,,0,True,Dog,Dog,10.0
cs7np8xb.wav,cs7np8xb.wav,,,0,True,Dog,Dog,10.0
cs7np8xb.wav,cs7np8xb.wav,,,0,True,Dog,Dog,10.0
cs7np8xb.wav,cs7np8xb.wav,,,0,True,Dog,Dog,10.0
cs7np8xb.wav,cs7np8xb.wav,,,0,True,Dog,Dog,10.0
cs7np8xb.wav,cs7np8xb.wav,,,0,True,Dog,Dog,10.0
cs7np8xb.wav,cs7np8xb.wav,,,0,True,Dog,Dog,10.0
z9f6lbhr.wav,z9f6lbhr.wav,,,0,True,Speech,Speech,10.0
z9f6lbhr.wav,z9f6lbhr.wav,,,0,True,Blender,Blender,10.0
z9f6lbhr.wav,z9f6lbhr.wav,,,0,True,Blender,Blender,10.0
z9f6lbhr.wav,z9f6lbhr.wav,,,0,True,Blender,Blender,10.0
z9f6lbhr.wav,z9f6lbhr.wav,,,0,True,Speech,Speech,10.0
_2h9brv7.wav,_2h9brv7.wav,,,0,True,Speech,Speech,10.0
